words,score
입사지원서,5
자기소개서,5
이력서,5
신청서,3
거주지,4
신청기관,3
인적사항,4
생년월일,5
주소,1
E-mail,1
연락처,1
긴급 전화번호,2
학력,2
졸업구분,4
병역여부,5
경력,2
어학,2
주거사항,5
희망업무,5
기업,1
지원분야,4
좌우명,5
우대사항,4
성장환경,4
성격,2
회사,1
응시회사,3
학회,1
입사,2
성명,1
한글,1
영문,1
한자,1
이름,1
주민등록번호,4
성별,1
연령,1
이메일,2
휴대전화,2
휴대폰,2
전화번호,2
자택전화,3
핸드폰,2
긴급 연락처,2
학력사항,4
출신,3
학교,1
학교명,1
학과,1
전공,1
학점,1
재학기간,4
복무기간,4
경력사항,4
재직기간,3
근무 기간,3
어학연수,4
어학사항,4
해외경험,4
외국어,1
자격,3
자격증,3
자격증명,3
자격사항,4
취득자격증,4
취득,1
점수,1
등급,1
면허,3
보유기술,3
취미,3
특기,3
재능,3
대외활동,4
활동,1
교내외활동,4
교내활동,4
봉사활동,4
자원봉사자,3
대내외 활동,4
가족관계,4
가족사항,4
결혼여부,4
부서명,4
업무내용,3
담당업무,3
직무,2
생활신조,3
인생관,3
성장배경,4
성장과정,4
지원동기,5
학창시절,4
학교생활,4
경험,1
혁신,2
성장,1
장단점,2
포부,4
강점,1
약점,1
업무강점,2
자기어필,4
어필,4
지원서,5
