words,score
감사,4
개요,3
검토,2
게재확정,5
게재확정일,5
결과,5
결론,5
고찰,4
교수,3
국내문헌,5
국문,2
국문요약,5
국문초록,5
권,4
기타자료,2
논문,2
논문게재일,5
논문발표일,5
논문접수,5
논문접수일,5
논문투고일,5
논의,2
단행본,3
동향,2
맺음말,3
머리말,3
목차,3
문제,2
문제점,2
박사,3
발행처,5
본론,5
분석,2
사료,2
사사,4
색인,3
서론,5
서론,5
석사,3
선행연구,3
수정일,2
수정접수,5
심사개시,5
심사완료일,5
연구,2
연구결과,2
연구방법,2
연구가설,2
연구논문,2
연구원,3
외국문헌,4
요약,4
요약문,4
원고접수,5
인용,4
일반논문,5
자료원,2
저자,4
저작권,2
주요어,5
주제,2
주제어,5
차례,3
참고문헌,5
초록,5
초심게재,5
최종원고채택,5
키워드,5
투고일,5
투고확정일,5
표,2
학술,2
학회,3
학회지,3
핵심어,5
abstract,5
DOI,5
ISSN,5
keyword,5
publisher,5
references,4
table,2
